dt,user_id,on_gold,spend_gold,earn_gold,on_diamond,spend_diamond,earn_diamond
2023-05-10,ffffced46fdb46b1bcd9c755b86f7ae6,8595,0,0,345,0,0
2023-06-03,ffffced46fdb46b1bcd9c755b86f7ae6,8595,0,0,345,0,0
2023-05-26,ffffced46fdb46b1bcd9c755b86f7ae6,8595,0,0,345,0,0
2023-05-17,ffffced46fdb46b1bcd9c755b86f7ae6,8595,0,0,345,0,0
2023-05-24,ffffced46fdb46b1bcd9c755b86f7ae6,8595,0,0,345,0,0
2023-05-08,ffffced46fdb46b1bcd9c755b86f7ae6,8595,0,0,345,0,0
2023-05-09,be25ac7b024e4dd5be99e561a868e2df,6145,0,0,0,0,0
2023-05-09,e841db31e284433d81d1ed983d0281e5,6146,0,6146,0,0,0
2023-05-09,9eaeace0997340fc8d906233d02f0b6d,6148,0,0,0,0,0
2023-05-09,8ac140efac7e41a8adadf6b8199cdf82,6149,0,0,0,0,0
2023-05-09,8e3751b15ecf43cab5cf1fd1207691be,8198,0,0,0,0,0
2023-05-09,a170ec6608ea474cab9a2c516fe78253,2066,0,0,0,0,0
2023-05-09,1b156c869e59411cb53870128b662475,8214,0,0,0,0,0
2023-05-09,6e3d0dac185b4346835c294e64c13eac,3101,0,0,0,0,0
2023-05-09,37b65ac2e8494b9fa184123f4b4e9ad1,6180,0,0,0,0,0
2023-05-09,f724001235324c4ebd7082eccfa33a17,6207,0,0,0,0,0
2023-05-09,5d7ea1a6700f4b3688cb7c962e7fec30,8516,0,0,0,0,0
2023-05-09,65b2de1f844640ca8cf5aa97c54651f8,1106,0,0,0,0,0
2023-05-09,6e411e5b2fe241dab908dffdc065e8dc,1106,0,1106,0,0,0
2023-05-09,581ca1fcc2bd45328147e308a3727435,1108,0,0,0,0,0
2023-05-09,9e4d0c3ca3e544e7823a6088beadca06,1109,0,0,0,0,0
2023-05-09,412f6c37469242dfa86fe9d75c9b6342,1111,0,0,0,0,0
2023-05-09,3bd499f12f6f4bfc84b43e685b3bfdd7,1114,0,0,0,0,0
2023-05-09,c2239bd3c7d24e04a6d126c4edad5848,1115,0,0,0,0,0
2023-05-09,1b27c74fdb794edcbe3af22e9735ad09,6235,0,0,0,0,0
2023-05-09,ce2ab221373a4b84bded97fbc8307372,1116,0,0,0,0,0
2023-05-09,238d5d74eace4b50bb594256795501e7,1130,0,0,0,0,0
2023-05-09,7de6165b2c674ffcad2c84bc718ff5ff,6509,0,0,0,0,0
2023-05-09,22522bd372364cf282d91242e2cd947f,1139,0,0,0,0,0
2023-05-09,96fc7ad6c80d4fb0a8f425c3d0593ec4,1140,0,0,0,0,0
2023-05-09,6d0481a027284a718575edfde34daedc,6260,0,0,0,0,0
2023-05-09,dbabe57973de4d0e8b4fb272c41db388,6516,0,0,0,0,0
2023-05-09,4252c9cafa9246a19a7b1a4c524bf25c,1145,0,0,0,0,0
2023-05-09,7fbc68a60711441a826e86cd5fc75211,6011,0,0,0,0,0
2023-05-09,06faa9f758a44007a1ea85b8467e4d5f,6267,0,0,0,0,0
2023-05-09,3372190c1548404286945ff94c640bbf,6283,0,0,0,0,0
2023-05-09,a0bccb90dffa4971a16b0e8febd65352,17298,0,0,0,0,0
2023-05-09,c1763845635740529dd9813f02a8e7f5,3222,0,0,0,0,0
2023-05-09,03f3a64784934699812e978e3e60824b,8114,0,0,0,0,0
2023-05-09,6f3f77458b4d47138ef86d25b9cf4345,6334,0,0,0,0,0
2023-05-09,da8ce822862e4da7af5f8d4f09434597,8130,0,0,0,0,0
2023-05-09,fe16871e225040b2856f59b349679639,1226,0,0,0,0,0
2023-05-09,78215790aeb44f70bbb7fc992abf8823,6100,0,6100,0,0,0
2023-05-09,3fb489f6b0874ababec0b489886485ea,6101,0,0,0,0,0
2023-05-09,c85857188342428990d5e881b3c1fbed,6357,0,0,0,0,0
2023-05-09,276f1981685c4a69a35bbb51bd484c55,8407,0,0,0,0,0
2023-05-09,6fa2e4043f0941e9bb1cfdc6222785f6,216,0,0,0,0,0
2023-05-09,db2bc613158b44adb5c63d73fdfbc590,1246,0,0,0,0,0
2023-05-09,b8f3e4c308c1458eaf14d8d8fe932b45,6110,0,0,0,0,0
2023-05-09,82b0fda7cdbd45cbae5c692e29cd6acd,1000,0,0,0,0,0
2023-05-09,379ffdc2f426484e876636a94755ee9b,1000,0,0,0,0,0
2023-05-09,57e06ff873144dbc9f18b206c6e887a4,1000,0,0,0,0,0
2023-05-09,347869885ac24963a1f603f9878592d0,1000,0,0,0,0,0
2023-05-09,2a9c7b47dcd94274beff988273de69ae,1000,0,0,0,0,0
2023-05-09,407575ffcecd4532bb653c60d3e43044,1000,0,0,0,0,0
2023-05-09,4ae22a3903fb46039b6e624de9800416,1000,0,0,0,0,0
2023-05-09,ad4c0435c6974c839ca74c83cc824692,1000,0,0,0,0,0
2023-05-09,2364ebb4a32f46fb8e9a475fa3a95383,1000,0,0,0,0,0
2023-05-09,0604aafd3f894909a62d352bb148a90f,1000,0,0,0,0,0
2023-05-09,2f724a488b62416e945fe6a1688f07db,1000,0,0,0,0,0
2023-05-09,45c5140f12e14440bec6c6007f9d9171,1000,0,0,0,0,0
2023-05-09,21794a9d298e4e528515afbcd81851a6,1000,0,0,0,0,0
2023-05-09,bee3471664c2497dbb3dfe1c19e4cb49,6122,0,0,0,0,0
2023-05-09,7f8b270bd4ff40b2b15db2d66b71d17a,6127,0,0,0,0,0
2023-05-09,eaa8ccab5d924be8a235678eb0d0a1fa,500,0,0,0,0,0
2023-05-09,5805200d7c9c414bb4da5c72fe3bfc38,500,0,0,0,0,0
2023-05-09,4ba1c3e33100404b9823ba2c12596f97,500,0,0,0,0,0
2023-05-09,2764787182ad434db9da0adddc5f0ca4,500,0,0,0,0,0
2023-05-09,a14f9ccb44bf4ffc98b8ac3618083802,500,0,0,0,0,0
2023-05-09,c807abea8c4b4b38871e53da7968e5a1,500,0,0,0,0,0
2023-05-09,7660ddbff1ad4c7fa7fc2c33aaecc286,500,0,0,0,0,0
2023-05-09,9140e329e4314d358957ad4bdd11cc8b,500,0,0,0,0,0
2023-05-09,e8ea429e14684044be38b694870b0268,500,0,0,0,0,0
